TIMESTAMP,Delta_18O,Delta_D,Latitude,Longitude,Landscape
201107200000,-17.72394428,-116.7489003,43.58N,4.46E,Wetlands
201107200100,-17.99654412,-119.2256324,43.58N,4.46E,Wetlands
201107200200,-18.08895588,-120.2046618,43.58N,4.46E,Wetlands
201107200300,-18.32583824,-121.5176912,43.58N,4.46E,Wetlands
201107200400,-18.51086637,-122.995301,43.58N,4.46E,Wetlands
201107200500,-9999,-9999,43.58N,4.46E,Wetlands
201107200600,-9999,-9999,43.58N,4.46E,Wetlands
201107200700,-9999,-9999,43.58N,4.46E,Wetlands
201107200800,-18.92955257,-125.2109396,43.58N,4.46E,Wetlands
201107200900,-19.05344575,-124.5207625,43.58N,4.46E,Wetlands
201107201000,-19.2174743,-124.7685316,43.58N,4.46E,Wetlands
201107201100,-18.50989706,-119.1503088,43.58N,4.46E,Wetlands
201107201200,-18.19499264,-116.1062445,43.58N,4.46E,Wetlands
201107201300,-17.86714286,-113.1143741,43.58N,4.46E,Wetlands
201107201400,-17.84539823,-113.2872124,43.58N,4.46E,Wetlands
201107201500,-17.84936672,-115.2140648,43.58N,4.46E,Wetlands
201107201600,-18.07723529,-117.1990294,43.58N,4.46E,Wetlands
201107201700,-18.46170543,-119.7321085,43.58N,4.46E,Wetlands
201107201800,-18.17901325,-118.8504713,43.58N,4.46E,Wetlands
201107201900,-17.27337261,-115.595567,43.58N,4.46E,Wetlands
201107202000,-16.80791728,-113.5494978,43.58N,4.46E,Wetlands
201107202100,-9999,-9999,43.58N,4.46E,Wetlands
201107202200,-9999,-9999,43.58N,4.46E,Wetlands
201107202300,-9999,-9999,43.58N,4.46E,Wetlands
201107210000,-16.28154856,-109.3208661,43.58N,4.46E,Wetlands
201107210100,-16.20240822,-108.0940969,43.58N,4.46E,Wetlands
201107210200,-16.00485294,-107.5353088,43.58N,4.46E,Wetlands
201107210300,-15.42389706,-103.2836176,43.58N,4.46E,Wetlands
201107210400,-14.46285081,-95.98189069,43.58N,4.46E,Wetlands
201107210500,-14.07286136,-93.58287611,43.58N,4.46E,Wetlands
201107210600,-14.38830133,-95.23930576,43.58N,4.46E,Wetlands
201107210700,-14.54523669,-95.33934911,43.58N,4.46E,Wetlands
201107210800,-14.74085799,-96.28505917,43.58N,4.46E,Wetlands
201107210900,-14.80946588,-95.06025223,43.58N,4.46E,Wetlands
201107211000,-15.59853116,-99.81362018,43.58N,4.46E,Wetlands
201107211100,-16.15612426,-102.5701479,43.58N,4.46E,Wetlands
201107211200,-16.23731167,-102.6688626,43.58N,4.46E,Wetlands
201107211300,-16.2458284,-103.1806361,43.58N,4.46E,Wetlands
201107211400,-16.4069174,-103.9619912,43.58N,4.46E,Wetlands
201107211500,-15.94998519,-101.4075704,43.58N,4.46E,Wetlands
201107211600,-16.48853767,-105.3422157,43.58N,4.46E,Wetlands
201107211700,-16.7840118,-107.9619174,43.58N,4.46E,Wetlands
201107211800,-16.95226804,-108.6643446,43.58N,4.46E,Wetlands
201107211900,-16.88535714,-108.8574068,43.58N,4.46E,Wetlands
201107212000,-9999,-9999,43.58N,4.46E,Wetlands
201107212100,-9999,-9999,43.58N,4.46E,Wetlands
201107212200,-16.0797561,-106.0443496,43.58N,4.46E,Wetlands
201107212300,-15.90817378,-105.0358468,43.58N,4.46E,Wetlands
201107220000,-16.03217647,-106.1309412,43.58N,4.46E,Wetlands
201107220100,-16.04809104,-106.7075624,43.58N,4.46E,Wetlands
201107220200,-15.81998527,-105.8601325,43.58N,4.46E,Wetlands
201107220300,-9999,-9999,43.58N,4.46E,Wetlands
201107220400,-9999,-9999,43.58N,4.46E,Wetlands
201107220500,-9999,-9999,43.58N,4.46E,Wetlands
201107220600,-16.12766046,-108.2898551,43.58N,4.46E,Wetlands
201107220700,-16.07933824,-107.2001176,43.58N,4.46E,Wetlands
201107220800,-16.0411782,-106.2969219,43.58N,4.46E,Wetlands
201107220900,-16.01746313,-103.6626696,43.58N,4.46E,Wetlands
201107221000,-15.88268833,-101.9617282,43.58N,4.46E,Wetlands
