TIMESTAMP_START,TIMESTAMP_END,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Preciptition,Rn,U,WD,T_ERA5,RH_ERA5,P_ERA5,Preciptition_ERA5,Rn_ERA5,U_ERA5,WD_ERA5
200505250600,200505250659,-9999,-21.9095,-9999,-9999,-9999,6.01085,0.963065,95.0985,0,-3.5876,3.80615,240.1218,7.018544,0.9289821,97.01186,0.4558273,-3.125559,5.14192,20.57323
200505250700,200505250759,-9999,-22.014,-9999,-9999,-9999,6.05965,0.9499,95.0815,0,-4.90065,3.99465,234.0792,7.13089,0.929711,96.90137,0.1605869,-3.57065,5.556816,23.17566
200505250800,200505250859,-9999,-22.123,-9999,-9999,-9999,6.0347,0.936735,95.1215,0,-2.75385,3.97835,228.8916,7.13838,0.9345327,96.89452,0.06882294,-3.214577,5.772525,26.28258
200505250900,200505250959,-9999,-22.317,-9999,-9999,-9999,5.7323,0.9407,95.1605,0,5.2279,3.81275,224.6436,7.0148,0.9308411,96.87653,0.03291532,-2.597808,5.969295,29.45108
200505251000,200505251059,-9999,-22.236,-9999,-9999,-9999,5.39805,0.94239,95.2125,0,18.4175,4.0505,222.8652,7.041014,0.8870817,96.88681,0.02693072,-1.432483,5.039551,35.27132
200505251100,200505251159,-9999,-22.0795,-9999,-9999,-9999,5.3608,0.929785,95.241,0,30.1815,3.84505,224.2386,7.097187,0.8855354,96.93992,0,6.281372,5.415973,33.64917
200505251200,200505251259,-9999,-21.8255,-9999,-9999,-9999,5.35365,0.93367,95.269,0,63.7035,3.6867,230.1768,7.050376,0.8950387,96.9639,0,26.18653,5.69674,31.76366
200505251300,200505251359,-9999,4988.873,-9999,-9999,-9999,5.616,0.92433,95.2875,0,100.5055,3.80475,241.1982,7.041014,0.8988569,96.97332,0.02094611,45.27255,6.10478,32.10602
200505251400,200505251459,-9999,4989.5275,-9999,-9999,-9999,5.8517,0.925095,95.318,0,126.135,3.96585,249.8328,7.385542,0.877718,96.97247,0,62.19367,6.350277,35.09067
200505251500,200505251559,-9999,-20.1035,-9999,-9999,-9999,6.12605,0.92809,95.3425,0,199.44,3.80805,255.006,7.911696,0.8318083,96.99046,0,105.2731,6.346619,35.83397
200505251600,200505251659,-9999,-19.686,-9999,-9999,-9999,6.03205,0.93828,95.377,0.2,73.7265,3.21115,258.021,8.07647,0.8387343,97.05127,0,128.0381,6.373459,37.44092
200505251700,200505251759,-9999,-19.3165,-9999,-9999,-9999,5.7751,0.96092,95.375,0,55.1275,3.68925,263.3058,8.319887,0.813427,97.0881,0,114.4642,6.399642,38.79987
200505251800,200505251859,-9999,-18.8965,-9999,-9999,-9999,5.9009,0.96226,95.3785,0.1,55.3285,4.11235,269.4096,8.716844,0.795289,97.13607,0,200.7008,6.261522,37.33939
200505251900,200505251959,-9999,-18.575,-9999,-9999,-9999,6.08375,0.953555,95.3625,0,37.819,3.4091,270.4104,8.675651,0.7962043,97.13007,0,137.2781,6.136649,35.00964
200505252000,200505252059,-9999,-18.5285,-9999,-9999,-9999,6.2081,0.94166,95.3405,0,19.3575,3.79205,267.0084,8.636329,0.8114665,97.13863,0,82.15884,6.054995,29.99464
200505252100,200505252159,-9999,-18.427,-9999,-9999,-9999,6.4144,0.934145,95.303,0,10.30725,3.36165,261.9468,8.808594,0.809111,97.11123,0,87.12106,5.898448,23.70074
200505252200,200505252259,-9999,-18.294,-9999,-9999,-9999,6.7013,0.93433,95.2395,0,-0.28095,4.29575,252.7668,8.754292,0.8189156,97.08296,0,52.84916,5.490236,17.98691
200505252300,200505252359,-9999,-18.1945,-9999,-9999,-9999,7.1054,0.93939,95.2025,0,-4.2924,4.3923,246.879,8.787996,0.8123146,97.02043,0.02892558,27.40672,5.129128,10.40927
200505260000,200505260059,-9999,-18.1775,-9999,-9999,-9999,7.2155,0.95916,95.156,0,-3.15225,4.01105,252.2772,8.969623,0.7921112,96.99388,0.06483321,2.854342,5.532582,14.10043
200505260100,200505260159,-9999,-18.1105,-9999,-9999,-9999,7.59345,0.95372,95.0555,0.1,-3.86405,4.49065,238.7646,9.233636,0.7870775,96.92793,0.3720429,-5.143991,5.658638,13.53188
200505260200,200505260259,-9999,-18.1345,-9999,-9999,-9999,7.7175,0.95925,94.943,0.1,-3.4712,4.54985,213.2802,9.254233,0.8150861,96.8988,0.2972353,-5.134828,6.027337,12.37357
200505260300,200505260359,-9999,-18.492,-9999,-9999,-9999,8.068,0.94669,94.8895,0.1,-4.1849,4.4939,201.24,9.482671,0.8501893,96.79858,1.036334,-4.71517,6.21945,13.56052
200505260400,200505260459,-9999,-19.142,-9999,-9999,-9999,8.05895,0.94471,94.849,0.2,-4.32265,4.0909,192.8628,9.580037,0.882726,96.74376,1.099172,-4.041175,6.35744,20.12013
200505260500,200505260559,-9999,-19.63,-9999,-9999,-9999,7.70545,0.96756,94.8295,0.1,-2.8939,4.1043,180.8982,9.780388,0.8903845,96.67524,1.031347,-3.246369,6.4998,20.51465
200505260600,200505260659,-9999,-19.901,-9999,-9999,-9999,7.64335,0.96856,94.8245,0.1,-2.7027,4.01575,184.8132,9.962014,0.8874888,96.5793,0.1077229,-3.08105,6.380759,20.61362
200505260700,200505260759,-9999,-19.85,-9999,-9999,-9999,7.5454,0.96794,94.8165,0.3,-2.8945,3.86415,200.844,9.875882,0.8929265,96.60329,0.05386143,-3.557933,6.12438,20.14226
200505260800,200505260859,-9999,-19.6585,-9999,-9999,-9999,7.50095,0.96689,94.838,0,9.4375,3.3531,207.1836,9.578164,0.9057444,96.57674,0.02194355,-2.979315,5.88996,20.72174
200505260900,200505260959,-9999,-19.592,-9999,-9999,-9999,7.7069,0.952285,94.8915,0,16.256,3.32885,205.1352,9.432115,0.9189638,96.58187,0,-3.023824,5.649998,23.59583
200505261000,200505261059,-9999,-19.6705,-9999,-9999,-9999,7.8837,0.934515,94.9395,0,33.123,3.43965,201.7836,9.78975,0.8503671,96.55532,0,-2.214111,4.739574,28.50089
200505261100,200505261159,-9999,-20.1575,-9999,-9999,-9999,7.94,0.92451,94.975,0,48.818,3.6071,198.3726,9.694256,0.8392628,96.60757,0.01795381,8.921723,4.592727,26.89496
200505261200,200505261259,-9999,-20.441,-9999,-9999,-9999,7.78955,0.92838,94.974,0,53.2355,2.981,197.1954,9.812219,0.8394824,96.67695,0.3660583,27.03635,4.617571,27.37224
200505261300,200505261359,-9999,4989.296,-9999,-9999,-9999,7.8914,0.950125,94.9665,0.3,127.4755,3.20985,199.2204,9.926437,0.8507812,96.70864,0.2623251,44.86488,4.590828,25.94133
200505261400,200505261459,-9999,4990.047,-9999,-9999,-9999,8.08445,0.942955,95.008,0,83.7425,2.70045,202.1994,10.15487,0.8455058,96.72063,0.3570814,73.01141,4.365793,24.74538
200505261500,200505261559,-9999,-18.751,-9999,-9999,-9999,8.459,0.93623,95.023,0,118.5675,2.65395,207.2916,10.4114,0.8461272,96.73091,0.2234252,96.17309,4.649626,26.07852
200505261600,200505261659,-9999,-18.6185,-9999,-9999,-9999,9.38475,0.9189,94.988,0,198.555,2.6031,212.7654,10.51438,0.8471861,96.76347,0.06483321,124.7524,4.467287,20.79552
200505261700,200505261759,-9999,4990.1795,-9999,-9999,-9999,9.95705,0.90183,94.9775,0,154,2.70405,220.4136,11.13978,0.8123218,96.7686,0.03889992,139.6533,4.427711,10.63809
200505261800,200505261859,-9999,9999,-9999,-9999,-9999,10.8445,0.87252,94.98,0,155.445,2.25775,223.1964,11.59852,0.7884799,96.76604,0.05984604,134.1178,4.573707,4.697754
200505261900,200505261959,-9999,9999,-9999,-9999,-9999,10.852,0.87686,94.974,0,83.427,2.18165,219.5568,11.96178,0.7741298,96.7412,0,150.4209,4.461095,1.487915
200505262000,200505262059,-9999,4990.6145,-9999,-9999,-9999,10.508,0.9259,94.95,0,43.5015,1.95005,210.3804,11.82509,0.8163294,96.73605,0,91.38988,4.262884,355.893
200505262100,200505262159,-9999,-17.922,-9999,-9999,-9999,10.437,0.92765,94.9595,0,22.9675,1.9709,199.2708,12.15464,0.8362072,96.73434,0.01396407,58.52756,4.155474,352.1234
200505262200,200505262259,-9999,-18.1005,-9999,-9999,-9999,10.391,0.928895,94.9635,0,2.1014,2.05195,176.5926,12.28196,0.830174,96.69151,0.01396407,47.87773,2.535052,341.1899
200505262300,200505262359,-9999,-18.4525,-9999,-9999,-9999,10.2485,0.93653,94.959,0,-4.7607,2.4902,200.0664,11.98237,0.8236443,96.70522,0.02992302,11.06527,2.473125,326.4047
200505270000,200505270059,-9999,-18.5815,-9999,-9999,-9999,9.8815,0.95283,94.9615,0,-3.454,2.52265,178.605,11.92994,0.8296838,96.69751,0.04787683,0.3778141,2.632533,308.6138
200505270100,200505270159,-9999,-18.636,-9999,-9999,-9999,9.3133,0.97582,94.9435,0,-2.404,2.329,147.4218,11.70338,0.8267508,96.71635,0.03092045,-3.869209,2.874931,303.9818
200505270200,200505270259,-9999,-18.9145,-9999,-9999,-9999,8.996,0.982645,94.94,0,-1.8897,2.23635,108.4068,11.34762,0.8510465,96.73348,0.01196921,-4.702454,3.239192,311.119
200505270300,200505270359,-9999,-19.245,-9999,-9999,-9999,8.73825,0.98623,94.936,0,-1.68805,2.44955,91.4058,10.98811,0.8831075,96.70094,0,-5.579919,3.4832,318.9241
200505270400,200505270459,-9999,-19.7545,-9999,-9999,-9999,8.5902,0.98766,94.92,0,-1.59105,2.26695,78.0606,10.99185,0.8750188,96.70094,0,-5.204771,3.338128,326.8741
200505270500,200505270559,-9999,-20.309,-9999,-9999,-9999,8.3715,0.98876,94.927,0,-2.05195,2.4273,63.7272,10.8327,0.8745393,96.70864,0.01795381,-3.952157,3.110848,320.8539
200505270600,200505270659,-9999,-20.655,-9999,-9999,-9999,8.25475,0.984795,94.9555,0,-3.1877,2.3321,40.7412,10.79712,0.8719431,96.69066,0,-2.152717,3.02811,318.1257
200505270700,200505270759,-9999,-20.472,-9999,-9999,-9999,8.00495,0.98723,94.9905,0,-1.39615,2.1973,39.7188,10.73533,0.8692864,96.69151,0,-4.651586,2.930447,318.8827
200505270800,200505270859,-9999,-20.2595,-9999,-9999,-9999,7.98095,0.98909,95.0265,0,12.4395,1.9181,55.1718,10.42451,0.8875685,96.72149,0,-3.589725,2.911431,316.6803
200505270900,200505270959,-9999,-20.4155,-9999,-9999,-9999,8.843,0.966295,95.048,0,139.097,2.8173,62.2368,9.742939,0.9006072,96.77289,0,-5.465467,2.927858,315.6645
200505271000,200505271059,-9999,-20.7255,-9999,-9999,-9999,10.407,0.89003,95.08,0,289.08,3.1078,63.4662,10.5406,0.8636515,96.79259,0,-6.07676,2.152479,310.9348
200505271100,200505271159,-9999,-20.894,-9999,-9999,-9999,11.07,0.85748,95.11,0,322.58,2.715,57.9312,10.42825,0.870043,96.81657,0,7.578249,2.37725,313.87
200505271200,200505271259,-9999,-20.998,-9999,-9999,-9999,12.287,0.80995,95.106,0,448.65,2.64705,65.4894,11.20531,0.8356134,96.85512,0,59.18926,3.261225,328.32
200505271300,200505271359,-9999,4988.9715,-9999,-9999,-9999,13.2735,0.774855,95.1265,0,576.48,2.3134,79.5996,11.71836,0.8223778,96.87054,0,209.1297,3.40837,330.1496
200505271400,200505271459,-9999,4989.3555,-9999,-9999,-9999,14.8125,0.7233,95.129,0,680.22,2.7988,81.702,13.69191,0.7917308,96.86539,0,324.7877,3.282815,321.2251
200505271500,200505271559,-9999,-20.0555,-9999,-9999,-9999,15.2965,0.710925,95.119,0,704.88,2.46045,111.3786,15.43327,0.6588539,96.89194,0.01196921,388.9828,3.261424,314.5727
200505271600,200505271659,-9999,-20.028,-9999,-9999,-9999,16.8245,0.678035,95.131,0,671.565,2.3241,121.5468,15.98939,0.6634274,96.88424,0,418.1641,3.101074,308.683
200505271700,200505271759,-9999,-19.9865,-9999,-9999,-9999,18.342,0.64457,95.1305,0,516.81,1.61415,90.5814,16.92935,0.649869,96.90479,0,381.0154,3.166981,301.6204
200505271800,200505271859,-9999,-19.5555,-9999,-9999,-9999,19.067,0.637115,95.094,0,282.415,1.20205,55.1124,17.95732,0.6437055,96.88167,0,346.8828,3.145761,300.7177
200505271900,200505271959,-9999,-19.2005,-9999,-9999,-9999,19.8005,0.618355,95.079,0,294.38,1.69535,29.7936,18.91413,0.6173564,96.88852,0,298.5903,2.923139,300.9752
200505272000,200505272059,-9999,-18.4395,-9999,-9999,-9999,19.064,0.654695,95.075,0,84.7725,1.6633,21.4812,19.31858,0.5777187,96.84998,0,350.4828,2.27102,306.0499
200505272100,200505272159,-9999,-18.6425,-9999,-9999,-9999,14.9725,0.848715,95.21,4.5,-9.1763,3.1508,19.7892,20.07317,0.5876179,96.85083,0,331.977,1.612493,317.3037
200505272200,200505272259,-9999,-18.892,-9999,-9999,-9999,11.811,0.95549,95.2755,0.6,-10.18425,1.53325,28.1952,19.03397,0.7056106,96.82428,0.4348812,204.8978,1.778682,312.101
200505272300,200505272359,-9999,-19.107,-9999,-9999,-9999,11.87,0.926835,95.23,0.1,-27.8785,1.5763,30.78,17.61092,0.7327742,96.91593,2.054714,95.83189,1.871709,297.3936
200505280000,200505280059,-9999,-19.5785,-9999,-9999,-9999,12.1055,0.89568,95.3005,0,-32.996,2.26755,18.7812,15.88827,0.8035953,97.0033,1.348531,3.971365,2.068554,271.5368
200505280100,200505280159,-9999,-19.095,-9999,-9999,-9999,11.687,0.926385,95.354,0,-41.718,2.72625,31.3182,14.60566,0.8389977,97.02043,0.6243936,-22.63189,1.763031,287.3954
200505280200,200505280259,-9999,-18.9335,-9999,-9999,-9999,11.9775,0.90421,95.361,0,-45.4555,2.78685,24.6168,13.70127,0.8700777,97.05984,0.1805355,-37.46753,2.136578,311.2399
200505280300,200505280359,-9999,-18.8195,-9999,-9999,-9999,11.462,0.931575,95.373,0,-46.1835,2.59225,106.7202,12.9111,0.9356898,97.06669,0,-35.82705,2.525875,307.053
200505280400,200505280459,-9999,-18.6975,-9999,-9999,-9999,11.1425,0.95447,95.377,0,-39.163,2.7618,171.2466,12.23141,0.9320515,97.10438,0,-48.49943,2.418578,285.9494
200505280500,200505280559,-9999,-18.861,-9999,-9999,-9999,11.619,0.89709,95.343,0,-41.764,2.2615,131.823,11.29893,0.9556413,97.08896,0,-48.49943,2.239293,272.1047
200505280600,200505280659,-9999,-19.5455,-9999,-9999,-9999,11.7895,0.86352,95.33,0,-41.6715,2.1902,54.027,10.53311,0.9637444,97.06669,0,-45.63177,2.006693,262.3383
200505280700,200505280759,-9999,-19.96,-9999,-9999,-9999,12.263,0.79372,95.34,0,-46.7335,2.2964,25.6986,10.65107,0.9607317,97.05898,0,-46.73178,1.792558,255.3605
200505280800,200505280859,-9999,-18.9655,-9999,-9999,-9999,11.486,0.866395,95.391,0,-4.531,3.4525,42.3018,10.40953,0.9630039,97.04442,0,-51.85669,1.475327,249.6889
200505280900,200505280959,-9999,-18.4675,-9999,-9999,-9999,11.8055,0.87877,95.433,0,134.86,3.6355,20.6766,10.29718,0.96872,97.0624,0,-39.92189,1.51768,246.6456
200505281000,200505281059,-9999,-18.939,-9999,-9999,-9999,13.757,0.78363,95.4375,0.1,275.175,2.582,350.1396,11.35511,0.8808086,97.14035,0,-35.7129,1.454404,260.2495
200505281100,200505281159,-9999,-19.6735,-9999,-9999,-9999,15.4435,0.70299,95.4375,0,417.16,1.72385,313.4772,12.10034,0.8932942,97.15834,0,47.48853,0.9874221,262.8651
200505281200,200505281259,-9999,-20.057,-9999,-9999,-9999,17.1645,0.617205,95.411,0,540.72,1.9206,300.384,12.5441,0.9246761,97.16434,0,162.8644,0.9053536,246.5175
200505281300,200505281359,-9999,4989.6425,-9999,-9999,-9999,17.931,0.56673,95.3955,0,555.91,2.6634,316.2384,13.88851,0.8855922,97.19859,0,300.1902,1.382508,239.5621
200505281400,200505281459,-9999,4988.2215,-9999,-9999,-9999,18.8235,0.487785,95.3575,0,598.84,2.4788,321.984,16.65223,0.7482055,97.16519,0,414.8963,1.613799,242.4825
200505281500,200505281559,-9999,-22.344,-9999,-9999,-9999,19.9045,0.42373,95.3385,0,710.985,3.48775,305.9172,19.98516,0.5337622,97.11893,0.08677675,587.5251,2.213384,241.4583
200505281600,200505281659,-9999,-21.713,-9999,-9999,-9999,20.527,0.421915,95.2965,0,654.625,3.07515,248.1984,21.36141,0.4885658,97.07269,0.0618409,631.2728,2.91203,240.4967
200505281700,200505281759,-9999,-21.9925,-9999,-9999,-9999,20.6945,0.40632,95.257,0,339.405,2.32405,243.2124,22.14596,0.4293967,97.01701,0.05086913,594.4395,2.983462,243.6291
200505281800,200505281859,-9999,-22.6065,-9999,-9999,-9999,20.8215,0.387835,95.2215,0,359.545,2.3881,234.6714,21.77521,0.43872,97.01358,0,494.7152,3.090107,251.0758
200505281900,200505281959,-9999,-21.922,-9999,-9999,-9999,20.5805,0.38848,95.176,0,238.66,2.0585,199.0728,21.63853,0.4212793,96.98274,0,533.7801,2.832549,254.5641
200505282000,200505282059,-9999,-20.443,-9999,-9999,-9999,18.5965,0.51843,95.1545,0,74.8285,2.82305,170.091,21.61793,0.396655,96.95533,0.2443713,415.1198,2.411351,250.227
200505282100,200505282159,-9999,-19.3245,-9999,-9999,-9999,16.822,0.5789,95.1665,0,-1.9002,2.41475,170.22654,21.33332,0.4431816,96.91251,0.02693072,341.6277,1.499035,238.5323
200505282200,200505282259,-9999,-18.8155,-9999,-9999,-9999,14.345,0.769455,95.187,0,-16.7375,3.7716,169.6842,18.45539,0.7329574,96.86111,0.1017383,173.0216,1.488101,127.7386
200505282300,200505282359,-9999,-18.537,-9999,-9999,-9999,13.2405,0.81611,95.162,0.1,-15.6455,3.41325,156.01266,17.51729,0.7680972,96.88681,0.2154457,47.1064,2.206204,136.9155
200505290000,200505290059,-9999,-18.3665,-9999,-9999,-9999,11.934,0.92117,95.22,0.9,-9.91745,2.0305,129.86856,16.80202,0.7453974,96.91679,0.1845253,-9.963642,2.54292,161.8932
200505290100,200505290159,-9999,-18.4735,-9999,-9999,-9999,11.3735,0.956765,95.1985,1.4,-8.53885,1.4037,121.96836,16.10548,0.7244516,96.92364,0.1306638,-41.90107,2.253424,185.1269
200505290200,200505290259,-9999,-19.1685,-9999,-9999,-9999,10.944,0.98322,95.1335,0.2,-9.40645,2.64275,143.4132,15.34527,0.6972161,96.94077,0.6263885,-29.41138,1.2759,205.588
200505290300,200505290359,-9999,-19.9415,-9999,-9999,-9999,10.841,0.988715,95.1145,0,-11.8645,2.7792,161.43498,13.92596,0.804125,96.88081,0.8268727,-27.11598,0.8023473,270.9959
200505290400,200505290459,-9999,-20.192,-9999,-9999,-9999,10.64,0.98819,95.1045,0,-14.9555,3.279,192.6216,13.61514,0.8383287,96.87482,0.4438581,-21.01823,1.220152,308.1741
200505290500,200505290559,-9999,-20.26,-9999,-9999,-9999,9.9833,0.98155,95.128,0,-13.0075,3.1498,210.3534,12.54785,0.9207517,96.85597,0.2802789,-20.00723,2.516438,324.7654
200505290600,200505290659,-9999,-20.293,-9999,-9999,-9999,9.78135,0.97945,95.13,0,-12.3105,2.82485,283.2246,12.18085,0.9328641,96.8337,0.3151891,-19.88006,3.339706,329.5359
200505290700,200505290759,-9999,-20.5545,-9999,-9999,-9999,9.7881,0.968845,95.173,0,-6.43995,2.8793,73.467,11.73896,0.9324093,96.87653,0.2503559,-26.20672,3.854768,329.6704
200505290800,200505290859,-9999,-20.756,-9999,-9999,-9999,9.7386,0.95839,95.2065,0,22.1821,3.328,152.7588,11.38319,0.9368993,96.8988,0.204474,-27.72639,4.26256,327.128
200505290900,200505290959,-9999,-20.7445,-9999,-9999,-9999,9.89325,0.95532,95.232,0,78.6485,3.4609,173.9142,11.1379,0.9149979,96.92706,0.1526074,-22.04194,4.432704,323.9071
200505291000,200505291059,-9999,-21.107,-9999,-9999,-9999,10.9635,0.901185,95.2975,0,206.295,3.75705,125.1162,12.05727,0.8393027,96.94848,0.04388709,-19.70616,3.847569,322.8547
200505291100,200505291159,-9999,-21.5525,-9999,-9999,-9999,11.191,0.86678,95.3705,0,72.559,3.1372,108.0432,11.78577,0.8514651,96.99731,0,18.72101,3.637792,322.4041
200505291200,200505291259,-9999,-22.175,-9999,-9999,-9999,11.166,0.85792,95.3915,0,112.8065,3.0993,97.4862,12.69203,0.8698189,97.03585,0,104.2514,3.188276,322.5925
200505291300,200505291359,-9999,-22.3025,-9999,-9999,-9999,12.5845,0.81183,95.4165,0,192.29,2.4374,98.4096,13.67318,0.8565792,97.09067,0,272.221,3.390968,321.566
200505291400,200505291459,-9999,-22.1875,-9999,-9999,-9999,14.1165,0.738275,95.428,0,322.445,2.4905,90.6012,14.82286,0.7691677,97.13692,0,400.1843,3.416568,318.7929
200505291500,200505291559,-9999,-22.453,-9999,-9999,-9999,16.0115,0.672965,95.3825,0,710.835,3.21925,74.322,17.35814,0.6020507,97.14549,0.01496151,553.3562,3.249821,319.6884
200505291600,200505291659,-9999,-22.662,-9999,-9999,-9999,17.2725,0.61588,95.3265,0,686.305,2.5073,70.1154,18.006,0.5738044,97.12065,0.01895124,631.081,3.134741,323.6061
200505291700,200505291759,-9999,-23.413,-9999,-9999,-9999,18.0145,0.558315,95.275,0,430.96,2.50235,84.2004,19.0658,0.5223452,97.07439,0.01595894,694.7792,2.952371,321.8917
200505291800,200505291859,-9999,-23.953,-9999,-9999,-9999,17.797,0.540695,95.2845,0,275.015,2.41005,102.0276,19.69681,0.5032656,97.01529,0.02892558,604.6724,2.983785,309.4232
200505291900,200505291959,-9999,-24.0495,-9999,-9999,-9999,18.0785,0.536995,95.304,0,342.965,2.84755,99.6786,19.80167,0.5007967,96.98274,0.03291532,636.8345,2.788356,301.2446
200505292000,200505292059,-9999,-24.5775,-9999,-9999,-9999,17.8615,0.522835,95.3125,0,181.295,2.86555,78.1866,20.27539,0.4776895,96.96561,1.722568,502.4483,2.651222,291.7847
200505292100,200505292159,-9999,-24.495,-9999,-9999,-9999,15.8835,0.616835,95.3875,0,64.2335,3.07815,63.1278,18.83923,0.5319487,97.01872,0,389.7066,2.644251,281.1919
200505292200,200505292259,-9999,-23.984,-9999,-9999,-9999,14.3525,0.67675,95.423,0,-35.6615,1.9547,52.7976,16.85071,0.7067856,97.05298,0,167.0997,1.702926,293.5457
200505292300,200505292359,-9999,-24.0195,-9999,-9999,-9999,14.048,0.694015,95.456,0,-50.2495,1.78645,43.7742,17.20085,0.6720792,97.14207,0,77.06678,2.300974,298.8265
200505300000,200505300059,-9999,-23.4805,-9999,-9999,-9999,13.883,0.70719,95.521,0,-23.2165,2.7944,36.0864,16.48933,0.6501272,97.14806,0,-11.36003,2.565452,307.4197
200505300100,200505300159,-9999,-22.6445,-9999,-9999,-9999,12.448,0.82242,95.532,0.1,-24.1355,2.7388,32.4972,15.56996,0.638382,97.17547,0,-67.35255,2.52815,307.5662
200505300200,200505300259,-9999,-22.716,-9999,-9999,-9999,11.8685,0.7957,95.539,0,-52.36,2.4363,40.9572,14.68617,0.6533777,97.25342,0,-68.31871,2.241568,305.956
200505300300,200505300359,-9999,-23.0485,-9999,-9999,-9999,11.299,0.77097,95.541,0,-52.4015,2.235,32.0994,13.21444,0.7124506,97.25684,0,-71.56787,2.391643,300.5735
200505300400,200505300459,-9999,-23.0525,-9999,-9999,-9999,10.7775,0.782775,95.5525,0.1,-51.6615,2.17805,23.2056,13.11145,0.7023248,97.26369,0,-69.61583,2.502532,294.5845
200505300500,200505300559,-9999,-23.4075,-9999,-9999,-9999,9.9963,0.825225,95.5595,0,-53.0765,1.67405,44.1594,12.75943,0.721229,97.244,0,-65.4129,2.662441,294.3209
200505300600,200505300659,-9999,-24.2095,-9999,-9999,-9999,9.9297,0.788915,95.559,0,-52.373,2.4708,61.7076,12.01608,0.7282593,97.25085,0,-74.63264,2.782216,296.3937
200505300700,200505300759,-9999,-24.8725,-9999,-9999,-9999,9.2893,0.823375,95.581,0,-50.8485,2.66835,45.9486,11.81947,0.7230475,97.25256,0,-72.28002,3.028809,297.613
200505300800,200505300859,-9999,-25.191,-9999,-9999,-9999,9.9879,0.797915,95.6065,0,-6.0365,2.9315,49.248,10.95815,0.7498122,97.24913,0,-72.81413,3.020904,303.5312
200505300900,200505300959,-9999,-25.0545,-9999,-9999,-9999,11.2285,0.75504,95.6395,0,134.465,2.7509,50.7114,10.23913,0.7820526,97.29111,0,-73.22107,3.017014,308.1
200505301000,200505301059,-9999,-24.7415,-9999,-9999,-9999,12.465,0.714135,95.664,0,274.275,3.27285,38.3508,10.48255,0.7873325,97.34422,0,-61.67023,2.800496,312.3741
200505301100,200505301159,-9999,-24.587,-9999,-9999,-9999,14.1,0.67654,95.682,0,414.38,3.0222,46.1808,11.43188,0.8079332,97.38704,0,29.15313,2.541189,307.1053
200505301200,200505301259,-9999,-24.72,-9999,-9999,-9999,15.254,0.639235,95.6825,0,532.395,3.08925,35.6796,15.17488,0.7073503,97.4016,0,170.3249,2.366601,306.7733
200505301300,200505301359,-9999,-24.888,-9999,-9999,-9999,16.363,0.58468,95.681,0,631.3,2.80525,25.173,14.98202,0.6598555,97.44614,0,325.9714,2.738113,300.642
200505301400,200505301459,-9999,-24.94,-9999,-9999,-9999,17.158,0.53906,95.669,0,598.325,3.0904,23.2938,16.5792,0.6193531,97.44357,0.07680241,470.0271,2.820793,297.0742
200505301500,200505301559,-9999,-24.781,-9999,-9999,-9999,17.635,0.506065,95.641,0,620.985,2.60885,22.3398,18.2232,0.4891562,97.41788,0.1067254,538.5038,2.990126,299.4941
200505301600,200505301659,-9999,-24.1425,-9999,-9999,-9999,17.482,0.496075,95.595,0,256.94,2.36325,46.0746,18.37861,0.4775515,97.40074,0.04089479,543.4542,3.276609,293.9482
200505301700,200505301759,-9999,-23.8765,-9999,-9999,-9999,18.0785,0.477645,95.566,0,323.645,2.17275,37.1538,18.90477,0.4505166,97.36562,0.01994868,529.7836,3.373278,294.111
200505301800,200505301859,-9999,-24.0095,-9999,-9999,-9999,18.2235,0.46435,95.5615,0,124.72,1.987,14.3568,19.46276,0.4513112,97.34935,0,591.7959,3.287257,294.2711
200505301900,200505301959,-9999,-23.9955,-9999,-9999,-9999,17.9235,0.50331,95.5805,0,94.3765,1.7986,344.7414,20.17241,0.436776,97.31423,0.02693072,563.9271,3.103782,294.2471
200505302000,200505302059,-9999,-24.072,-9999,-9999,-9999,16.597,0.524905,95.612,0.5,32.898,2.1523,326.6316,19.42905,0.4896956,97.28682,0,514.0994,2.869284,291.1967
200505302100,200505302159,-9999,-23.728,-9999,-9999,-9999,12.754,0.79462,95.712,5.8,-3.3095,4.01345,314.2224,19.40284,0.4579673,97.29967,0,350.4615,2.611516,282.7212
200505302200,200505302259,-9999,-23.62,-9999,-9999,-9999,12.469,0.78703,95.725,0.4,-13.3442,2.1589,319.698,18.61641,0.5743457,97.37933,0,231.3259,1.568314,274.0531
200505302300,200505302359,-9999,-24.076,-9999,-9999,-9999,14.8005,0.568605,95.7015,0,-36.5575,1.8052,336.3516,17.69143,0.6216098,97.44529,0,92.337,1.463145,284.0587
200505310000,200505310059,-9999,-23.9525,-9999,-9999,-9999,13.1485,0.69836,95.762,0,-17.535,1.13521,7.0812,16.39196,0.6267017,97.44614,0,-8.031766,1.163962,305.7086
200505310100,200505310159,-9999,-23.711,-9999,-9999,-9999,13.8575,0.66347,95.755,0.1,-14.833,1.7219,17.3232,15.15241,0.6494822,97.41616,0,-57.13808,1.181619,323.6443
200505310200,200505310259,-9999,-24.078,-9999,-9999,-9999,13.999,0.671225,95.7705,0,-27.6865,0.475155,44.4042,13.79302,0.7053121,97.46413,0,-56.93709,0.6326029,312.6169
